# Справочник критических участков, версия 1 (заготовка)
# Источник координат и уровня доказательности: перечень кураторских оценок дозовой
# чувствительности участков ClinGen, файл ClinGen_region_curation_list_GRCh38.tsv,
# дата перечня 28.04.2026, сборка GRCh38 (GCF_000001405.36).
# Отобраны участки с уровнем 2 (некоторые доказательства) и 3 (достаточные
# доказательства) по направлению утраты либо прироста; направление в отдельном столбце.
# Названия болезней и международные синонимы получены по идентификаторам MONDO
# через словарь онтологий; русские обозначения — затравка, требует подтверждения
# врачами-генетиками заказчика (столбец подтверждено_врачом).
isca_id,название_источника,цитобенд,хромосома,начало,конец,направление,уровень_доказательности,описание_уровня,идентификатор_болезни,дата_оценки,название_болезни,синонимы_международные,русское_обозначение_затравка,подтверждено_врачом
ISCA-37434,1p36 terminal region (includes GABRD),1p36.33-p36.31,1,898703,6229913,gain,2,Some evidence for dosage pathogenicity,,2016-05-31,,,синдром делеции 1p36,нет
ISCA-37434,1p36 terminal region (includes GABRD),1p36.33-p36.31,1,898703,6229913,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0011929,2016-05-31,chromosome 1p36 deletion syndrome,1p telomere deletion syndrome; 1p36 deletion syndrome; 1p36 microdeletion syndrome,синдром делеции 1p36,нет
ISCA-37421,"1q21.1 recurrent region (distal, BP3-BP4) (includes GJA5)",1q21.1-q21.2,1,147105904,147917509,gain,2,Some evidence for dosage pathogenicity,MONDO:0012915,2024-10-04,chromosome 1q21.1 duplication syndrome,1q21.1 microduplication syndrome; 1q21.1 recurrent microduplication (possible susceptibility locus for neurodevelopmental disorders); chromosome 1q21.1 duplication syndrome,,нет
ISCA-37421,"1q21.1 recurrent region (distal, BP3-BP4) (includes GJA5)",1q21.1-q21.2,1,147105904,147917509,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0012914,2024-10-04,chromosome 1q21.1 deletion syndrome,1q21.1 microdeletion; 1q21.1 microdeletion syndrome; 1q21.1 recurrent microdeletion (susceptibility locus for neurodevelopmental disorders),,нет
ISCA-37493,1q43q44 terminal region (includes AKT3),1q43-q44,1,243124428,245154985,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0012869,2016-10-12,"intellectual disability, autosomal dominant 22",MRD22; ZBTB18 autosomal dominant non-syndromic intellectual disability; autosomal dominant intellectual disability 22,,нет
ISCA-37424,10q22.3q23.2 recurrent region (includes BMPR1A),10q22.3-q23.2,10,79923087,86979631,loss,3,Sufficient evidence for dosage pathogenicity,,2023-05-15,,,,нет
ISCA-37401,11p13 (WAGR syndrome) region,11p13,11,31781961,32489442,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0008681,2016-05-24,WAGR syndrome,11p deletion; 11p deletion syndrome; 11p monosomy,,нет
ISCA-37441,"11p11.2 (Potocki-Shaffer syndrome) region (includes ALX4, EXT2)",11p11.2,11,43873250,46130899,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0011022,2013-12-12,Potocki-Shaffer syndrome,11p11.2 deletion; PSS; Potocki-Shaffer syndrome,,нет
ISCA-37498,"11q13.2q13.4 recurrent region (includes SHANK2, FGFs)",11q13.2-q13.4,11,67996175,71525885,loss,3,Sufficient evidence for dosage pathogenicity,,2025-06-25,,,,нет
ISCA-37438,14q11.2 region including CHD8 and SUPT16H,14q11.2,14,21358741,21393828,loss,2,Some evidence for dosage pathogenicity,,2012-05-09,,,,нет
ISCA-37447,DLK1-MEG3 Intergenic Region,14q32.2,14,100724515,100833215,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0100499,2024-09-13,multiple congenital anomalies due to 14q32.2 imprinting defect,,,нет
ISCA-37448,15q11.2 recurrent region (BP1-BP2) (includes NIPA1),15q11.2,15,22782170,23040134,loss,3,Sufficient evidence for dosage pathogenicity,,2021-04-12,,,,нет
ISCA-37478,"15q11.2q13 recurrent (PWS/AS) region (Class I, BP1-BP3 and Class II, BP2-BP3)",15q11.2-q13.1,15,23465365,28134728,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0012081,2025-08-03,15q11q13 microduplication syndrome,15q11-q13 duplication syndrome; 15q11-q13 microduplication syndrome; 15q11q13 duplication syndrome,синдромы Прадера-Вилли и Ангельмана,нет
ISCA-37478,"15q11.2q13 recurrent (PWS/AS) region (Class I, BP1-BP3 and Class II, BP2-BP3)",15q11.2-q13.1,15,23465365,28134728,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0008300,2025-08-03,Prader-Willi syndrome,PWS; Prader-Labhart-Willi syndrome; Prader-Willi syndrome,синдромы Прадера-Вилли и Ангельмана,нет
ISCA-37411,15q13.3 recurrent region (BP3-BP5 or BP4-BP5) (includes CHRNA7),15q13.3,15,30900686,32153204,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0012774,2026-02-11,chromosome 15q13.3 microdeletion syndrome,15q13.3 microdeletion; 15q13.3 microdeletion syndrome; Del(15)(q13.3),,нет
ISCA-46295,"15q13.3 recurrent region (D-CHRNA7 to BP5) (includes CHRNA7, OTUD7A)",15q13.3,15,31727418,32153204,loss,2,Some evidence for dosage pathogenicity,MONDO:0100038,2026-02-11,complex neurodevelopmental disorder,complex neurodevelopmental disorder,,нет
ISCA-46296,15q24 recurrent region (LCR A-LCR C),15q24.1-q24.2,15,72671374,75215971,loss,3,Sufficient evidence for dosage pathogenicity,,2025-10-24,,,,нет
ISCA-46300,15q24 recurrent region (LCR C-LCR D) (includes SIN3A),15q24,15,75339446,75680568,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0013256,2025-10-24,chromosome 15q24 deletion syndrome,15q24 microdeletion syndrome; 15q24 recurrent microdeletion syndrome; Del(15)(q24),,нет
ISCA-37500,"15q25.2 recurrent region (proximal, LCR-A/B-C) (includes RPS17)",15q25.2,15,82534140,84045981,loss,3,Sufficient evidence for dosage pathogenicity,,2025-07-17,,,,нет
ISCA-37406,16p13.3 region (includes CREBBP),16p13.3,16,3725055,3880120,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0012519,2016-06-09,Rubinstein-Taybi syndrome due to 16p13.3 microdeletion,16p13.3 deletion syndrome,,нет
ISCA-37415,"16p13.11 recurrent region (BP1-BP3, BP2-BP3, or BP2-BP4) (includes MYH11)",16p13.11,16,15417854,16198408,gain,2,Some evidence for dosage pathogenicity,,2024-08-16,,,,нет
ISCA-37415,"16p13.11 recurrent region (BP1-BP3, BP2-BP3, or BP2-BP4) (includes MYH11)",16p13.11,16,15417854,16198408,loss,2,Some evidence for dosage pathogenicity,,2024-08-16,,,,нет
ISCA-37409,"16p12.2 recurrent region (proximal) (includes EEF2K, CDR2)",16p12.2,16,21937124,22419483,loss,2,Some evidence for dosage pathogenicity,,2025-09-23,,,,нет
ISCA-37486,"16p11.2 recurrent region (distal, BP1-BP3, BP2-BP3, or BP1-BP4) (includes SH2B1)",16p11.2,16,28811314,29035178,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0013267,2026-03-18,distal 16p11.2 microdeletion syndrome,"body mass index QTL16; chromosome 16p11.2 deletion syndrome, type 220kb; distal 16p11.2 microdeletion syndrome",,нет
ISCA-37400,"16p11.2 recurrent region (proximal, BP4-BP5) (includes TBX6)",16p11.2,16,29638676,30188531,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0013847,2026-03-18,chromosome 16p11.2 duplication syndrome,16p11.2 duplication; 16p11.2 duplication syndrome; 16p11.2 microduplication,,нет
ISCA-37400,"16p11.2 recurrent region (proximal, BP4-BP5) (includes TBX6)",16p11.2,16,29638676,30188531,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0012756,2026-03-18,proximal 16p11.2 microdeletion syndrome,16p11.2 deletion syndrome; Del(16)(p11.2); autism susceptibility 14A,,нет
ISCA-37430,17p13.3 (Miller-Dieker syndrome) region (includes YWHAE and PAFAH1B1),17p13.3,17,1344539,2685615,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0013182,2016-11-09,chromosome 17p13.3 duplication syndrome,17p13.3 duplication syndrome; 17p13.3 microduplication syndrome; dup(17)(p13.3),,нет
ISCA-37430,17p13.3 (Miller-Dieker syndrome) region (includes YWHAE and PAFAH1B1),17p13.3,17,1344539,2685615,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0009532,2016-11-09,Miller-Dieker lissencephaly syndrome,MDLS; Miller-Dieker lissencephaly syndrome; Miller-Dieker syndrome,,нет
ISCA-37436,17p12 recurrent (HNPP/CMT1A) region (includes PMP22),17p12,17,14194598,15519638,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0007309,2025-09-12,Charcot-Marie-Tooth disease type 1A,CMT 1A; CMT1A; Charcot Marie Tooth disease type 1A,,нет
ISCA-37436,17p12 recurrent (HNPP/CMT1A) region (includes PMP22),17p12,17,14194598,15519638,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0008087,2025-09-12,hereditary neuropathy with liability to pressure palsies,HNPP; Tomaculous neuropathy; current pressure-sensitive neuropathy,,нет
ISCA-37418,17p11.2 recurrent (SMS/PLS) region (includes RAI1),17p11.2,17,16906714,20309889,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0012574,2025-10-10,Potocki-Lupski syndrome,17p11.2 Duplication syndrome; 17p11.2 microduplication syndrome; Duplication 17p11.2 syndrome,синдром Смита-Магениса; синдром Потоцки-Лупски,нет
ISCA-37418,17p11.2 recurrent (SMS/PLS) region (includes RAI1),17p11.2,17,16906714,20309889,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0008434,2025-10-10,Smith-Magenis syndrome,17p11.2 microdeletion syndrome; SMITH-Magenis syndrome; SMS,синдром Смита-Магениса; синдром Потоцки-Лупски,нет
ISCA-37431,"17q11.2 recurrent region (type-1, -2, or -3) (includes NF1)",17q11.2,17,30780079,31937008,gain,2,Some evidence for dosage pathogenicity,MONDO:0030032,2025-12-03,"obsolete chromosome 17q11.2 duplication syndrome, 1.4-mb","chromosome 17q11.2 duplication syndrome, 1.4-mb, isolated cases",,нет
ISCA-37431,"17q11.2 recurrent region (type-1, -2, or -3) (includes NF1)",17q11.2,17,30780079,31937008,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0013357,2025-12-03,"chromosome 17q11.2 deletion syndrome, 1.4Mb",17q11 microdeletion syndrome; Del(17)(q11); MMFD,,нет
ISCA-37432,17q12 recurrent (RCAD syndrome) region (includes HNF1B),17q12,17,36458167,37854616,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0013796,2022-06-16,chromosome 17q12 duplication syndrome,17q12 duplication; 17q12 microduplication; 17q12 microduplication syndrome,,нет
ISCA-37432,17q12 recurrent (RCAD syndrome) region (includes HNF1B),17q12,17,36458167,37854616,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0013797,2022-06-16,chromosome 17q12 deletion syndrome,17q12 deletion syndrome; 17q12 microdeletion syndrome; 17q12 recurrent deletion syndrome,,нет
ISCA-37420,17q21.31 recurrent (KdVS) region (includes KANSL1),17q21.3,17,45627800,46087514,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0012496,2025-08-02,Koolen-de Vries syndrome,17q21.31 deletion syndrome; KANSL1-related intellectual disability syndrome; KDVS,,нет
ISCA-37501,"17q23.1q23.2 recurrent region (includes TBX2, TBX4)",17q23.1-q23.2,17,60035641,62198448,gain,2,Some evidence for dosage pathogenicity,,2025-11-14,,,,нет
